CODIGO;GRUP;ESTMIN  ;ESTAMAX  ;SALDO   ;PRECOCUSTO ;PREVENDA;UN;CUSTOMED;DESCRICAO
000001;LINHA LARANJA                                     ;0001;00000000;00000000;00016700;000000002900;00000120;UN;00000029
000002;LINHA CORRENTE DRIMA                              ;0001;00000000;00000000;00050800;000000008517;00000130;UN;00000029
000003;AGULHA CROCHET BARBANTE 3,5                       ;0001;00000000;00000000;00000000;000000018000;00000290;UN;00000000
000004;AGULHA CROCHET BARBANTE 4,0                       ;0001;00000000;00000000;00000000;000000018000;00000290;UN;00000000
000005;LINHA CORRENTE MARRON                             ;0001;00000600;00000000;00000000;000000024130;00000360;PC;00000177
000006;LINHA CORRENTE PERSPONTO                          ;0001;00000000;00000000;00000000;000000002800;00000000;PC;00000000
000007;LINHA 10 CORRENTE  500JDS                         ;0001;00002400;00000000;00003000;000000050381;00000770;UN;00000231
000008;LINHA 10 CORRENTE  200JDS                         ;0001;00002400;00000000;00003600;000000023767;00000360;UN;00000098
000009;AGULHA CROCHET BARBANTE 4,5                       ;0001;00000000;00000000;00000000;000000018000;00000290;UN;00000000
000010;AGULHA CROCHET BARBANTE 5,0                       ;0001;00000000;00000000;00000000;000000022700;00000350;UN;00000198
000011;LINHA DRIMA BCA 1000JDS                           ;0001;00000000;00000000;00000000;000000028200;00000430;UN;00000000
000012;LINHA CORR.CARRETEL 50                            ;0001;00000000;00000000;00000000;000000000000;00000000;UN;00000000
000013;LINHA NOV.BRILH.PEROLA                            ;0001;00001200;00000000;00000000;000000011300;00000390;UN;00000000
000014;AGULHA CROCHET N.1                                ;0001;00000500;00000000;00000000;000000006900;00000180;UN;00000000
000015;AGULHA CROCHET N.2                                ;0001;00000000;00000000;00000000;000000011659;00000180;UN;00000091
000016;AGULHA CROCHET N.3                                ;0001;00000000;00000000;00000000;000000009458;00000180;UN;00000091
000017;AGULHA CROCHET N.4                                ;0001;00000000;00000000;00000000;000000011659;00000180;UN;00000070
000018;AGULHA CROCHET N.5                                ;0001;00000000;00000000;00000000;000000007037;00000180;UN;00000070
000019;ABRA€ADEIRA PLAST.PTA 380X4,8                     ;0018;00000000;00000000;00009400;000000002106;00000040;UN;00000000
000020;AGULHA TRICOT N.2                                 ;0001;00000000;00000000;00000000;000000000000;00000000;UN;00000000
000021;AGULHA TRICOT N.2,5                               ;0001;00000000;00000000;00000000;000000000000;00000000;UN;00000000
000022;AGULHA TRICOT N.3                                 ;0001;00000000;00000000;00000000;000000000000;00000000;UN;00000000
000023;AGULHA TRICOT N.3,5                               ;0001;00000000;00000000;00000000;000000000000;00000000;UN;00000000
000024;AGULHA TRICOT N.4                                 ;0001;00000000;00000000;00000000;000000000000;00000000;UN;00000000
000025;AGULHA TRICOT N.4,5                               ;0001;00000300;00000000;00000000;000000009100;00000250;UN;00000000
000026;AGULHA TRICOT N.5                                 ;0001;00000300;00000000;00000000;000000010200;00000260;UN;00000000
000027;AGULHA TRICOT N.5,5                               ;0001;00000000;00000000;00000000;000000000000;00000000;UN;00000000
000028;AGULHA MAO N.01                                   ;0001;00003000;00000000;00000000;000000000739;00000015;UN;00000007
000029;AGULHA MAO N.2/0                                  ;0001;00003000;00000000;00000000;000000000400;00000015;UN;00000000
000030;AGULHA MAO N.03                                   ;0001;00003000;00000000;00000000;000000001207;00000020;UN;00000006
000031;AGULHA MAO N.06                                   ;0001;00003000;00000000;00000000;000000001207;00000015;UN;00000004
000032;AGULHA MAO N.07                                   ;0001;00003000;00000000;00000000;000000001207;00000015;UN;00000005
000033;AGULHA MAO N.08                                   ;0001;00003000;00000000;00000000;000000001207;00000015;UN;00000004
000034;AGULHA MAO N.09                                   ;0001;00003000;00000000;00000000;000000000530;00000015;UN;00000004
000035;AGULHA MAO N.12                                   ;0001;00003000;00000000;00000000;000000000300;00000015;UN;00000000
000036;CAIXA FIBROMAR POLIET.1000LT                      ;0032;00000000;00000000;00000000;000001907120;00031990;UN;00000000
000037;AGULHA MAQUINA N.11                               ;0001;00005000;00000000;00004900;000000003519;00000060;UN;00000010
000038;AGULHA MAQUINA N.14                               ;0001;00005000;00000000;00004400;000000003519;00000060;UN;00000010
000039;ALFINETE CABE€A(CART.)                            ;0001;00000000;00000000;00000000;000000016810;00000260;UN;00000155
000040;ALFINETE CABE€A N.29 (CX)                         ;0001;00000000;00000000;00000000;000000016527;00000270;CX;00000165
000041;ALFINETE SEGUR.N.0                                ;0001;00002000;00000000;00000000;000000000423;00000010;UN;00000000
000042;ALFINETE SEGUR.N.1                                ;0001;00001000;00000000;00000000;000000000447;00000010;UN;00000003
000043;ALFINETE SEGUR.N.2                                ;0001;00002000;00000000;00000000;000000000539;00000010;UN;00000004
000044;ALFINETE SEGUR.N.3                                ;0001;00002000;00000000;00000000;000000000576;00000015;UN;00000004
000045;LINHA RUBI 05                                     ;0001;00000000;00000000;00000900;000000003463;00000055;UN;00000000
000046;LINHA RUBI 10                                     ;0001;00000000;00000000;00000300;000000003000;00000075;UN;00000000
000047;ZIPER SINTETICO 10 CM                             ;0001;00000000;00000000;00000000;000000001000;00000050;UN;00000000
000048;ZIPER SINTETICO 12 CM                             ;0001;00000000;00000000;00000000;000000001200;00000055;UN;00000000
000049;ZIPER SINTETICO 15 CM                             ;0001;00000000;00000000;00011300;000000003600;00000070;UN;00000031
000050;ZIPER SINTETICO 18 CM                             ;0001;00000000;00000000;00010200;000000003900;00000080;UN;00000020
000051;ZIPER SINTETICO 20 CM                             ;0001;00000000;00000000;00003700;000000004800;00000090;UN;00000020
000052;ZIPER SINTETICO 25 CM                             ;0001;00000000;00000000;00003900;000000001700;00000110;UN;00000017
000053;ZIPER SINTETICO 30 CM                             ;0001;00000000;00000000;00000300;000000005449;00000120;UN;00000029
000054;ZIPER SINTETICO 35 CM                             ;0001;00000000;00000000;00000000;000000003890;00000130;UN;00000034
000055;ZIPER SINTETICO 40 CM                             ;0001;00000000;00000000;00000000;000000006940;00000150;UN;00000026
000056;ZIPER SINTETICO 45 CM                             ;0001;00000000;00000000;00000000;000000003000;00000130;UN;00000000
000057;ZIPER SINTETICO 50 CM                             ;0001;00000000;00000000;00000000;000000009700;00000170;UN;00000042
000058;ZIPER SINTETICO 55 CM                             ;0001;00000000;00000000;00000000;000000003830;00000150;UN;00000038
000059;ZIPER SINTETICO 60 CM                             ;0001;00000000;00000000;00000000;000000004260;00000170;UN;00000042
000060;ZIPER METALICO 12 CM                              ;0001;00000000;00000000;00000300;000000002400;00000120;UN;00000000
000061;ZIPER METALICO 15 CM                              ;0001;00000000;00000000;00001900;000000007971;00000140;UN;00000039
000062;ZIPER METALICO 18 CM                              ;0001;00000000;00000000;00001400;000000009182;00000160;UN;00000046
000063;ZIPER SEPARAVEL 60CM                              ;0001;00000000;00000000;00000000;000000000000;00000000;UN;00000000
000064;ELASTICO N.06                                     ;0001;00003000;00000000;00000000;000000000400;00000010;MT;00000000
000065;ELASTICO N.08                                     ;0001;00003000;00000000;00000000;000000000540;00000010;MT;00000005
000066;ELASTICO N.10                                     ;0001;00003000;00000000;00000000;000000001479;00000020;MT;00000007
000067;ELASTICO N.12                                     ;0001;00003000;00000000;00000000;000000001130;00000025;MT;00000008
000068;ELASTICO N.14                                     ;0001;00003000;00000000;00000000;000000001970;00000030;MT;00000010
000069;ELASTICO N.16                                     ;0001;00003000;00000000;00000000;000000001640;00000030;MT;00000011
000070;ELASTICO N.18                                     ;0001;00003000;00000000;00000000;000000002994;00000050;MT;00000016
000071;ELASTICO N.20                                     ;0001;00001000;00000000;00000000;000000000692;00000035;MT;00000006
000072;ELASTICO N.25                                     ;0001;00001000;00000000;00000000;000000002552;00000050;MT;00000018
000073;ELASTICO N.30                                     ;0001;00001000;00000000;00000000;000000003156;00000060;MT;00000010
000074;ELASTICO N.35                                     ;0001;00001000;00000000;00000000;000000003644;00000070;MT;00000000
000075;REFIL COLA P/PISTOLA 12X280MM(CARTELADA)          ;0013;00000000;00000000;00000900;000000049741;00000745;UN;00000000
000076;ESQUADRO C/PLAST.MONFORT 12"                      ;0016;00000000;00000000;00000200;000000055100;00000850;UN;00000000
000077;VALVULA PAN.PRESSAO COMPLETA                      ;0018;00000300;00000000;00000000;000000014800;00000450;UN;00000000
000078;RALO SIFON.VIQUA QUADR.1090421                    ;0021;00000300;00000000;00002000;000000030760;00000480;UN;00000000
000079;ALICATE CRIMPADOR RJ11/RJ45                       ;0016;00000300;00000000;00000000;000000174466;00002690;UN;00000000
000080;FITA ISOL.LORENZETH 05MT                          ;0022;00000500;00000000;00000000;000000009396;00000140;UN;00000000
000081;FITA ISOL.LORENZETH 10MT                          ;0022;00000500;00000000;00000000;000000015963;00000240;UN;00000000
000082;FITA ISOL.LORENZETH 20MT                          ;0022;00000500;00000000;00000000;000000023680;00000370;UN;00000000
000083;CORTADOR PISO 51CM UYUS3050                       ;0016;00000500;00000000;00000100;000000607400;00009120;UN;00000000
000084;DOBRADI€A COLONIAL 3"    (CART/3P€S)              ;0017;00000500;00000000;00000300;000000072956;00001340;CT;00000000
000085;COLUNA POP  8,0MM-07X14-6MT                       ;0033;00001000;00000000;00002000;000000378200;00005990;UN;00000000
000086;CARRINHO CONST.METALOSA AZUL PLUS                 ;0016;00001000;00000000;00000600;000000824400;00013390;UN;00000000
000087;AREJADOR JAPONES                                  ;0021;00000000;00000000;00000300;000000016883;00000260;UN;00000000
000088;FERRO SOLDA TRAMONTINA 127V 40W                   ;0022;00001500;00000000;00000100;000000182400;00002790;UN;00000000
000089;GRAMPO DE FIXA€AO 6"                              ;0016;00000300;00000000;00000000;000000179550;00002695;UN;00000000
000090;CHOCALHO BABY 3319                                ;0002;00000500;00000000;00000100;000000011000;00000180;CA;00000000
000091;PRATO TERMICO LILLO                               ;0002;00000500;00000000;00000000;000000019900;00000690;CX;00000000
000092;PEDRA AMOLAR CANOA CARBORUNDUM                    ;0016;00000300;00000000;00000000;000000017725;00000380;UN;00000000
000093;ROLO TIGRE LA ANTI-RESP.23CM (1376)               ;0023;00000300;00000000;00000600;000000052700;00001290;UN;00000000
000094;CAP ESGOTO  75MM                                  ;0038;00000300;00000000;00001100;000000023300;00000390;UN;00000000
000095;EXTENSAO DANEVA 10MT                              ;0022;00000300;00000000;00000000;000000133900;00002000;UN;00000000
000096;CAIXA GORDURA TIGRE COMPLETA 801005               ;0021;00000300;00000000;00000000;000001295000;00019490;UN;00000000
000097;VALVULA RETEN.ESG.TIGRE 100MM                     ;0021;00000000;00000000;00000000;000000633000;00008990;UN;00000399
000098;LUVA MUCAMBO AZUL XG                              ;0018;00000000;00000000;00000500;000000028200;00000500;PR;00000000
000099;ALICATE CORTE DIAGONAL STARFER 6"                 ;0016;00000000;00000000;00000300;000000124600;00001995;UN;00000000
000100;ALICATE BICO STARFER 6"                           ;0016;00000000;00000000;00000000;000000064766;00001050;UN;00000349
000101;AGUIA ACRIL.3600ML PEROLA                         ;0023;00000000;00000000;00000400;000000148500;00002290;LT;00000360
000102;INTER.EXT.ILUMI CAMPAINHA                         ;0022;00000000;00000000;00000500;000000020250;00000310;UN;00000000
000103;MURIM 80CM                                        ;0006;00000000;00000000;00017665;000000021900;00000330;MT;00000083
000104;TECIDO CAPRI TINTO                                ;0006;00000000;00000000;00001469;000000058900;00000890;MT;00000289
000105;COLAR DE TOMADA 50X3\4                            ;0037;00000600;00000000;00000700;000000059400;00000895;UN;00000212
000106;TORNO BANCADA N4 STARFER                          ;0016;00000000;00000000;00000000;000000753600;00010900;UN;00000000
000107;VERNIZ AGUIA COPAL 3600ML                         ;0023;00000000;00000000;00000100;000000286254;00004550;UN;00000130
000108;POTE PLAST.RETANGULAR 4170ML                      ;0007;00000000;00000000;00000000;000000062900;00000950;MT;00000000
000109;POTE PLAST.ORGANIZADORA 4500ML                    ;0007;00000300;00000000;00000000;000000048800;00000740;MT;00000435
000110;OLEO MOTOR 2T 500ML                               ;0055;00000000;00000000;00000000;000000025000;00000600;MT;00000000
000111;CAPA P/GAIOLA(04)                                 ;0012;00000000;00000000;00000100;000000100000;00001650;MT;00000000
000112;CAPA P/GAIOLA(02)                                 ;0012;00000000;00000000;00000600;000000090000;00001500;MT;00000598
000113;GUARDA-CHUVA BARRACAO 75CM                        ;0004;00000000;00000000;00000000;000000099000;00001590;UN;00000000
000114;GUARDA-CHUVA MAGICO                               ;0004;00001500;00000000;00000000;000000055000;00000750;UN;00000547
000115;GUARDA-CHUVA AUTOMATICO                           ;0004;00000400;00000000;00000400;000000069000;00001090;UN;00000650
000116;GUARDA-CHUVA CRIAN€A                              ;0004;00000300;00000000;00000000;000000044000;00000660;UN;00000440
000117;SOMBRINHA MINI RENDADA                            ;0004;00001500;00000000;00000000;000000099000;00001490;UN;00000472
000118;SOMBRINHA AUTOMATICA                              ;0004;00000600;00000000;00000000;000000000000;00000000;UN;00000000
000119;SOMBRINHA MINI SEDA                               ;0004;00000500;00000000;00000600;000000129000;00001940;UN;00000000
000120;SOMBRINHA MAGICA COLONIAL                         ;0004;00000500;00000000;00000000;000000045000;00000690;UN;00000000
000121;SOMBRINHA COLONIAL INFANTIL                       ;0004;00000300;00000000;00000000;000000000000;00000000;UN;00000000
000122;SOMBRINHA INFANTIL COMUM                          ;0004;00000300;00000000;00000000;000000000000;00000000;UN;00000000
000123;SOMBRINHA MINI MAGICA                             ;0004;00000500;00000000;00002300;000000055000;00000890;UN;00000492
000124;TABUADA BARKER                                    ;0011;00001200;00000000;00000000;000000000680;00000030;UN;00000000
000125;LEN€O DE CABE€A                                   ;0001;00001200;00000000;00000000;000000014000;00000249;UN;00000140
000126;BOTINA DA SERRA                                   ;0009;00001000;00000000;00001000;000000315000;00005490;PR;00000000
000127;BOTINA DA SERRA INFANTIL                          ;0009;00000000;00000000;00002000;000000335000;00005490;PR;00000000
000128;SAPATO MASC.PIRANQUEIRO                           ;0009;00000000;00000000;00000300;000000065000;00001200;PR;00000000
000129;CAIXA FIBROMAR POLIET. 500LT                      ;0032;00000000;00000000;00000000;000001186318;00020790;UN;00000000
000130;MACHADO                                           ;0016;00000000;00000000;00000000;000000240000;00003600;UN;00000000
000131;CAIXA FIBROMAR POLIET.2000LT                      ;0032;00000000;00000000;00000000;000004723500;00076900;UN;00000000
000132;BOTA PVC PEGA FORT PTA 43/44                      ;0009;00000600;00000000;00000000;000000149053;00002250;PR;00000000
000133;LUVA MUCAMBO PRETO XG                             ;0018;00000000;00000000;00000100;000000041550;00000715;PR;00000000
000134;ABRA€ADEIRA PLAST.PTA 200X2,5                     ;0018;00003000;00000000;00013300;000000000448;00000010;UN;00000000
000135;CAIXA FIBROMAR POLIET. 250LT                      ;0032;00002000;00000000;00000100;000000869888;00014690;UN;00000000
000136;CHAVE FACA REVERSIVEL 2X30AMP                     ;0022;00000000;00000000;00000000;000000166200;00002495;UN;00000000
000137;PAPEL CREPON                                      ;0011;00005000;00000000;00000000;000000003130;00000050;FL;00000000
000138;PAPEL CELOFANE COR                                ;0011;00001800;00000000;00002600;000000003584;00000060;FL;00000029
000139;PAPEL CAMUR€A                                     ;0011;00005000;00000000;00000000;000000003984;00000060;FL;00000034
000140;PAPEL LAMINADO PRATA                              ;0011;00002000;00000000;00000000;000000002945;00000050;FL;00000017
000141;PAPEL SILUETA OU DOBRADURA                        ;0011;00003000;00000000;00000800;000000000980;00000040;FL;00000009
000142;PAPEL CARTAO                                      ;0011;00003000;00000000;00000000;000000005245;00000090;FL;00000022
000143;PAPEL COLOR SET OU DUPLICOLOR                     ;0011;00003000;00000000;00000600;000000003255;00000050;FL;00000024
000144;CARTOLINA                                         ;0011;00010000;00000000;00005700;000000003572;00000050;FL;00000015
000145;PAPEL ALMA€O C/PAUTA                              ;0011;00040000;00000000;00000000;000000000475;00000010;FL;00000002
000146;PAPEL ALMA€O S/PAUTA                              ;0011;00040000;00000000;00008700;000000000100;00000010;FL;00000000
000147;PAPEL OFICIO PCT/100FLS                           ;0011;00003000;00000000;00002600;000000027356;00000420;PT;00000185
000148;PAPEL OFICIO COLORIDO C/100                       ;0011;00000000;00000000;00000000;000000020900;00000430;FL;00000001
000149;PAPEL KRAFT OURO 80X120                           ;0011;00010000;00000000;00009400;000000005535;00000100;FL;00000000
000150;PAPEL PRESENTE NATAL 60X100                       ;0011;00000000;00000000;00000000;000000004907;00000075;FL;00000012
000151;PAPEL SEDA                                        ;0011;00000000;00000000;00018600;000000000911;00000020;FL;00000005
000152;PAPEL CARBONO                                     ;0011;00002000;00000000;00000000;000000001324;00000025;FL;00000013
000153;PAPEL MANILHA ROSA                                ;0011;00003000;00000000;00000000;000000001000;00000025;FL;00000000
000154;PAPEL HECTOGRAFICO ROXO                           ;0011;00010000;00000000;00006100;000000003020;00000050;FL;00000019
000155;PAPEL HECTOGRAFICO VERDE                          ;0011;00000000;00000000;00000000;000000005300;00000180;FL;00000000
000156;PAPEL HECTOGRAFICO VERMELHO                       ;0011;00001500;00000000;00003200;000000010066;00000180;FL;00000051
000157;ENVELOPE CARTA AEREO                              ;0011;00020000;00000000;00076700;000000000268;00000010;UN;00000001
000158;ENVELOPE OFICIO BRANCO                            ;0011;00020000;00000000;00001700;000000000382;00000010;UN;00000001
000159;ENVELOPE PARDO NAT.200X280                        ;0011;00005000;00000000;00015000;000000001001;00000020;UN;00000000
000160;ENVELOPE PARDO NAT.240X340                        ;0011;00005000;00000000;00005800;000000001924;00000030;UN;00000006
000161;CANETA ESFER.BIC CRISTAL                          ;0011;00010000;00000000;00007400;000000006566;00000100;UN;00000029
000162;CANETA ESFER.FABER FIX FINA                       ;0011;00005000;00000000;00000000;000000003975;00000060;UN;00000036
000163;CAIXA DISJ+TOM P/AR COND.ILUMI                    ;0022;00000000;00000000;00000100;000000106453;00001595;UN;00000000
000164;LAPIS COR M/LAP 12COR WINNER FABER                ;0011;00002400;00000000;00000000;000000018414;00000280;CX;00000101
000165;LAPIS COR INT.12COR.WINNER FABER                  ;0011;00002400;00000000;00000000;000000030790;00000460;CX;00000134
000166;LAPIS COR INT.24COR WINNER FABER                  ;0011;00000500;00000000;00000000;000000044634;00000690;CX;00000215
000167;LAPISEIRA 0,7MM GRAFITE BIC                       ;0011;00001200;00000000;00000000;000000006019;00000100;UN;00000060
000168;LAPISEIRA POLY 0,5 MM F.CASTEL                    ;0011;00001200;00000000;00000000;000000015910;00000360;UN;00000143
000169;LAPISEIRA POLY 0,7 MM F.CASTEL                    ;0011;00001200;00000000;00000000;000000015910;00000240;UN;00000157
000170;LAPISEIRA POLY 1,6MM SUPER F.CASTEL               ;0011;00001200;00000000;00000000;000000018917;00000295;UN;00000098
000171;GIZ CERA 12CORES TURMA MONICA                     ;0011;00001200;00000000;00000000;000000004965;00000100;CX;00000048
000172;GIZAO CERA TURMA MONICA 12COR.                    ;0011;00000600;00000000;00000000;000000013486;00000200;CX;00000078
000173;GIZ CERA ESTACA F.CASTEL                          ;0011;00002000;00000000;00003400;000000000800;00000020;UN;00000000
000174;CANECAO ALUM.SAO JORGE 18                         ;0008;00000000;00000000;00000000;000000108900;00002090;UN;00001298
000175;CANETA HIDROG.NEO PEN GIGANTE 12COR.              ;0011;00000000;00000000;00000600;000000061500;00000950;ET;00000000
000176;CANETA HIDROG.NEO PEN GIGANTE 06COR.              ;0011;00000000;00000000;00001200;000000036000;00000540;ET;00000000
000177;CARTOLINA LAMINADA                                ;0011;00000000;00000000;00000000;000000005985;00000100;ET;00000069
000178;CANETA HIDROG.MALETA CLUB 30CORES(B-209)          ;0011;00000400;00000000;00000000;000000045600;00000000;ET;00000456
000179;MASSA MODELAR C/06 ROLOS                          ;0011;00002000;00000000;00001000;000000013833;00000225;CX;00000000
000180;MASSA MODELAR 500GR                               ;0011;00000500;00000000;00000200;000000033900;00000495;CX;00000219
000181;COLA BRANCA  40GR                                 ;0011;00000300;00000000;00002400;000000006066;00000120;UN;00000027
000182;COLA BRANCA  90GR                                 ;0011;00002400;00000000;00002300;000000010416;00000195;UN;00000052
000183;COLA BRANCA 500GR                                 ;0011;00000600;00000000;00000100;000000026921;00000430;UN;00000178
000184;COLA ADESIVA 175GRS FRASCO PINCEL                 ;0013;00000000;00000000;00000900;000000058230;00000895;CA;00000000
000185;COLA COLORIDA C/6CORES ACRILEX                    ;0011;00000600;00000000;00000200;000000047200;00000710;CX;00000000
000186;CALCULADORA KENKO KK-3181A                        ;0011;00000200;00000000;00000200;000000089600;00001390;UN;00000000
000187;RELOGIO DESPERT.HERWEG (REF 2220)                 ;0010;00000500;00000000;00000000;000000092080;00001390;UN;00000744
000188;GARRAFA TERM.INV.LIDER 1LT                        ;0007;00000600;00000000;00000000;000000172808;00002575;UN;00000964
000189;ESTOJO ESCOLAR FLAMENGO                           ;0011;00000600;00000000;00000000;000000018100;00000495;UN;00000000
000190;PINCEL ATOMICO PILOT 1100-P                       ;0011;00002000;00000000;00002400;000000023755;00000360;UN;00000078
000191;PINCEL ATOMICO COMPACTOR                          ;0011;00000000;00000000;00000000;000000008383;00000130;UN;00000000
000192;FITA ADES.TRANSP.12X05MT                          ;0011;00003000;00000000;00000000;000000001000;00000030;RL;00000010
000193;FITA ADES.TRANSP.12X10MT                          ;0011;00003000;00000000;00002700;000000002870;00000045;RL;00000015
000194;FITA ADES.TRANSP.12X20MT                          ;0011;00003000;00000000;00000000;000000002980;00000060;RL;00000029
000195;FITA ADES.TRANSP.12X40MT                          ;0011;00001000;00000000;00002100;000000007340;00000270;RL;00000031
000196;FITA CREPE 19MMX50MTS                             ;0011;00001200;00000000;00002900;000000019900;00000325;RL;00000118
000197;PLAST.ENCAPAR LISO 2MT                            ;0011;00001200;00000000;00000200;000000007194;00000150;RL;00000037
000198;PLASTIFOLHA SORTIDO 2MT                           ;0011;00001200;00000000;00000000;000000009761;00000160;RL;00000099
000199;PASTA POLIONDA C/AL€A 505X350X20                  ;0011;00000000;00000000;00000100;000000020700;00000350;UN;00000000
000200;CHAPA ISOPOR 05MM                                 ;0011;00002000;00000000;00000000;000000005464;00000090;UN;00000033
000201;CHAPA ISOPOR 10MM                                 ;0011;00001000;00000000;00000700;000000011760;00000190;UN;00000067
000202;CHAPA ISOPOR 15MM                                 ;0011;00001000;00000000;00000500;000000018375;00000290;UN;00000101
000203;CHAPA ISOPOR 20MM                                 ;0011;00001000;00000000;00000000;000000022767;00000350;UN;00000138
000204;FITA ADESIVA COLOR.10MT                           ;0011;00001000;00000000;00000000;000000002670;00000050;RL;00000000
000205;COMPASSO JOLLY COMPACTOR                          ;0011;00000500;00000000;00001700;000000028100;00000450;UN;00000120
000206;PERFURADOR PAPEL GRAMPILINE                       ;0011;00000200;00000000;00000000;000000059800;00000900;CX;00000598
000207;GRAMPO P/GRAMPE.26/6 C/5000                       ;0011;00000300;00000000;00000600;000000046700;00000700;CX;00000000
000208;PERCEVEJO LATONADO C/100 PRAYON                   ;0011;00001500;00000000;00001100;000000012900;00000270;CX;00000058
000209;GRAFITE 0,5MM                                     ;0011;00001200;00000000;00000000;000000005609;00000090;CX;00000028
000210;GRAFITE 0,7MM                                     ;0011;00001200;00000000;00000000;000000008066;00000130;CX;00000025
000211;GRAFITE 1,6MM F.CASTEL                            ;0011;00001200;00000000;00001300;000000005942;00000170;CX;00000031
000212;TESOURA ESCOLAR S/PONTA                           ;0011;00001200;00000000;00000000;000000004539;00000110;UN;00000058
000213;APONTADOR REDONDO SIMPLES                         ;0011;00002400;00000000;00026100;000000001522;00000030;UN;00000006
000214;LAPIS PRETO FANTASIA                              ;0011;00010000;00000000;00000000;000000001363;00000030;UN;00000009
000215;BORRACHA VERDE MERCUR CLEAN                       ;0011;00002000;00000000;00004400;000000008650;00000150;UN;00000000
000216;CORTADOR P/VIDRO PROF.GUEPAR                      ;0016;00000000;00000000;00000100;000000042133;00000660;UN;00000000
000217;PAPEL LAMINADO COR                                ;0011;00005000;00000000;00000000;000000002598;00000040;FL;00000016
000218;BORRACHA BRANCA 40 RECORD MERCUR                  ;0011;00003000;00000000;00000000;000000002005;00000050;UN;00000000
000219;BORRACHA BRANCA 60 RECORD MERCUR                  ;0011;00003000;00000000;00000000;000000001493;00000040;UN;00000000
000220;TINTA GUACHE  15ML                                ;0011;00003600;00000000;00007300;000000003816;00000060;UN;00000017
000221;TINTA TECIDO 40ML A.PAINT                         ;0011;00002000;00000000;00000000;000000003700;00000060;UN;00000000
000222;TINTA PLAST.15ML ART PAINT                        ;0011;00000000;00000000;00000000;000000004800;00000070;UN;00000000
000223;REABAST.PINCEL ATOMICO PILOT                      ;0011;00000000;00000000;00000000;000000014900;00000210;UN;00000000
000224;LANCHEIRA PIU PIU C/GARRAF.TERMICA                ;0011;00000500;00000000;00000000;000000103400;00001550;UN;00001034
000225;CADERNETA 1/16 ESP.40FLS                          ;0011;00002400;00000000;00006100;000000004390;00000090;UN;00000000
000226;CADERNO 1/4 BROCH.48FL                            ;0011;00006000;00000000;00001900;000000008315;00000150;UN;00000000
000227;CADERNO 1/4 BROCH.96FL                            ;0011;00005000;00000000;00002200;000000015170;00000240;UN;00000000
000228;CADERNO 1/4 BROCH.40FL CALIGRAFIA                 ;0011;00001500;00000000;00000000;000000004005;00000080;UN;00000027
000229;CADERNO 1/4 BROCH.48FL DESENHO                    ;0011;00001000;00000000;00000100;000000005410;00000110;UN;00000000
000230;CADERNO 1/4 C/DURA 96FL                           ;0011;00002000;00000000;00002200;000000023860;00000370;UN;00000000
000231;CADERNO 1/4 ESPIRAL  48FLS                        ;0011;00002000;00000000;00001800;000000010380;00000190;UN;00000000
000232;CADERNO 1/4 ESPIRAL  96FLS                        ;0011;00004000;00000000;00001800;000000017030;00000260;UN;00000000
000233;CADERNO 1/4 ESPIRAL 200FLS                        ;0011;00003000;00000000;00000000;000000034180;00000510;UN;00000235
000234;CADERNO 1/4 ESPI.48FL DESENHO                     ;0011;00002000;00000000;00009600;000000003800;00000190;UN;00000035
000235;CADERNO 1/4 ESPI.96FL DESENHO                     ;0011;00002000;00000000;00005100;000000007000;00000310;UN;00000065
000236;CADERNO BROCHURAO 60FL                            ;0011;00001800;00000000;00000000;000000013167;00000200;UN;00000080
000237;CADERNO BROCHURAO 80FL                            ;0011;00001800;00000000;00001600;000000024800;00000390;UN;00000000
000238;CADERNO CARTOGRAFIA 48F S/SEDA                    ;0011;00002000;00000000;00000300;000000013265;00000290;UN;00000081
000239;CADERNO CARTOGRAFIA 96F S/SEDA                    ;0011;00002400;00000000;00000900;000000032470;00000550;UN;00000000
000240;CADERNO UNIV. 1X1  96FL                           ;0011;00003000;00000000;00001000;000000028370;00000450;UN;00000000
000241;CADERNO UNIV. 4X1  96FL                           ;0011;00003000;00000000;00001000;000000028370;00000450;UN;00000000
000242;CADERNO UNIV. 6X1 120FL                           ;0011;00003000;00000000;00000000;000000032790;00000495;UN;00000171
000243;CADERNO UNIV. 8X1 160FL                           ;0011;00003000;00000000;00000000;000000041380;00000620;UN;00000221
000244;CADERNO UNIV.10X1 200FL                           ;0011;00003000;00000000;00002000;000000056840;00000995;UN;00000249
000245;CADERNO UNIV.C.DURA 15X1 300FL                    ;0011;00000000;00000000;00000400;000000099000;00001595;UN;00000000
000246;CADERNO UNIV.C.DURA 10X1 200FL                    ;0011;00001500;00000000;00000000;000000059050;00000890;UN;00000398
000247;CADERNO UNIV.C.DURA 20X1 400FL                    ;0011;00001200;00000000;00000800;000000126400;00001995;UN;00000000
000248;PASTA PAPELAO ABA/ELASTICO                        ;0011;00000000;00000000;00001600;000000011630;00000190;UN;00000035
000249;PASTA PAPELAO GRAMPO/TRILHO                       ;0011;00000000;00000000;00003000;000000009210;00000150;UN;00000026
000250;CARTOES PARANA CARD`S                             ;0011;00000000;00000000;00007000;000000008300;00000140;UN;00000000
000251;TABULEIRO GALV.GAZARRA 24X34                      ;0008;00000000;00000000;00000200;000000009000;00000890;UN;00000000
